id,identifier,name,category_id,cost,short_effect
1,master-ball,Master Ball,34,0,Catches a wild Pokémon every time.
2,ultra-ball,Ultra Ball,34,800,Tries to catch a wild Pokémon.  Success rate is 2×.
3,great-ball,Great Ball,34,600,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,poke-ball,Poké Ball,34,200,Tries to catch a wild Pokémon.
5,safari-ball,Safari Ball,34,0,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,net-ball,Net Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,dive-ball,Dive Ball,33,1000,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,nest-ball,Nest Ball,33,1000,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,repeat-ball,Repeat Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,timer-ball,Timer Ball,33,1000,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,luxury-ball,Luxury Ball,33,1000,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,premier-ball,Premier Ball,33,20,Tries to catch a wild Pokémon.
13,dusk-ball,Dusk Ball,33,1000,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,heal-ball,Heal Ball,33,300,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,quick-ball,Quick Ball,33,1000,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,cherish-ball,Cherish Ball,33,0,Tries to catch a wild Pokémon.
17,potion,Potion,27,200,Restores 20 HP.
18,antidote,Antidote,30,200,Cures poison.
19,burn-heal,Burn Heal,30,300,Cures a burn.
20,ice-heal,Ice Heal,30,100,Cures freezing.
21,awakening,Awakening,30,100,Cures sleep.
22,paralyze-heal,Paralyze Heal,30,300,Cures paralysis.
23,full-restore,Full Restore,27,3000,Restores HP to full and cures any status ailment and confusion.
24,max-potion,Max Potion,27,2500,Restores HP to full.
25,hyper-potion,Hyper Potion,27,1500,Restores 200 HP.
26,super-potion,Super Potion,27,700,Restores 50 HP.
27,full-heal,Full Heal,30,400,Cures any status ailment and confusion.
28,revive,Revive,29,2000,Revives with half HP.
29,max-revive,Max Revive,29,4000,Revives with full HP.
30,fresh-water,Fresh Water,27,200,Restores 50 HP.
31,soda-pop,Soda Pop,27,300,Restores 60 HP.
32,lemonade,Lemonade,27,400,Restores 80 HP.
33,moomoo-milk,Moomoo Milk,27,600,Restores 100 HP.
34,energy-powder,Energy Powder,27,500,"Restores 50 HP, but lowers happiness."
35,energy-root,Energy Root,27,1200,"Restores 200 HP, but lowers happiness."
36,heal-powder,Heal Powder,30,300,"Cures any status ailment, but lowers happiness."
37,revival-herb,Revival Herb,29,2800,"Revives with full HP, but lowers happiness."
38,ether,Ether,28,1200,Restores 10 PP for one move.
39,max-ether,Max Ether,28,2000,Restores PP to full for one move.
40,elixir,Elixir,28,3000,Restores 10 PP for each move.
41,max-elixir,Max Elixir,28,4500,Restores PP to full for each move.
42,lava-cookie,Lava Cookie,30,350,Cures any status ailment and confusion.
43,berry-juice,Berry Juice,27,200,Restores 20 HP.
44,sacred-ash,Sacred Ash,29,50000,Revives all fainted Pokémon with full HP.
45,hp-up,HP Up,26,10000,Raises HP effort and happiness.
46,protein,Protein,26,10000,Raises Attack effort and happiness.
47,iron,Iron,26,10000,Raises Defense effort and happiness.
48,carbos,Carbos,26,10000,Raises Speed effort and happiness.
49,calcium,Calcium,26,10000,Raises Special Attack effort and happiness.
50,rare-candy,Rare Candy,26,10000,Causes a level-up and raises happiness.
51,pp-up,PP Up,26,10000,Raises a move's max PP by 20%.
52,zinc,Zinc,26,10000,Raises Special Defense and happiness.
53,pp-max,PP Max,26,10000,Raises a move's max PP by 60%.
54,old-gateau,Old Gateau,30,350,Cures any status ailment and confusion.
55,guard-spec,Guard Spec.,1,1500,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,dire-hit,Dire Hit,1,1000,Increases the chance of a critical hit in battle.  Raises happiness.
57,x-attack,X Attack,1,1000,Raises Attack by one stage in battle.  Raises happiness.
58,x-defense,X Defense,1,2000,Raises Defense by one stage in battle.  Raises happiness.
59,x-speed,X Speed,1,1000,Raises Speed by one stage in battle.  Raises happiness.
60,x-accuracy,X Accuracy,1,1000,Raises accuracy by one stage in battle.  Raises happiness.
61,x-sp-atk,X Sp. Atk,1,1000,Raises Special Attack by one stage in battle.  Raises happiness.
62,x-sp-def,X Sp. Def,1,2000,Raises Special Defense by one stage in battle.  Raises happiness.
63,poke-doll,Poké Doll,11,100,Ends a wild battle.
64,fluffy-tail,Fluffy Tail,11,100,Ends a wild battle.
65,blue-flute,Blue Flute,38,20,Cures sleep.
66,yellow-flute,Yellow Flute,38,20,Cures confusion.
67,red-flute,Red Flute,38,20,Cures attraction.
68,black-flute,Black Flute,11,20,Halves the wild Pokémon encounter rate.
69,white-flute,White Flute,11,20,Doubles the wild Pokémon encounter rate.
70,shoal-salt,Shoal Salt,9,20,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.
71,shoal-shell,Shoal Shell,9,20,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.
72,red-shard,Red Shard,9,1000,No effect. Can be traded for items or moves.
73,blue-shard,Blue Shard,9,1000,No effect. Can be traded for items or moves.
74,yellow-shard,Yellow Shard,9,1000,No effect. Can be traded for items or moves.
75,green-shard,Green Shard,9,1000,No effect. Can be traded for items or moves.
76,super-repel,Super Repel,11,700,"For 200 steps, prevents wild encounters of level lower than your party's lead Pokémon."
77,max-repel,Max Repel,11,900,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon."
78,escape-rope,Escape Rope,11,1000,Transports user to the outside entrance of a cave.
79,repel,Repel,11,400,"For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon."
80,sun-stone,Sun Stone,10,3000,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora."
81,moon-stone,Moon Stone,10,3000,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty."
82,fire-stone,Fire Stone,10,3000,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales."
83,thunder-stone,Thunder Stone,10,3000,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu."
84,water-stone,Water Stone,10,3000,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie."
85,leaf-stone,Leaf Stone,10,3000,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel."
86,tiny-mushroom,Tiny Mushroom,24,500,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars."
87,big-mushroom,Big Mushroom,24,5000,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars."
88,pearl,Pearl,24,2000,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars."
89,big-pearl,Big Pearl,24,8000,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars."
90,stardust,Stardust,24,3000,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars."
91,star-piece,Star Piece,24,12000,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars."
92,nugget,Nugget,24,10000,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars."
93,heart-scale,Heart Scale,9,100,No effect. Can be traded for prior Level-up moves.
94,honey,Honey,35,300,"Attracts wild Pokémon when used in tall grass, caves or on special trees."
95,growth-mulch,Growth Mulch,32,200,"Growing time of berries is reduced, but the soil dries out faster."
96,damp-mulch,Damp Mulch,32,200,"Growing time of berries is increased, but the soil dries out slower."
97,stable-mulch,Stable Mulch,32,200,Berries stay on the plant for longer than their usual time.
98,gooey-mulch,Gooey Mulch,32,200,Berries regrow from dead plants an increased number of times.
99,root-fossil,Root Fossil,35,7000,Can be revived into a Lileep.
100,claw-fossil,Claw Fossil,35,7000,Can be revived into an Anorith.
101,helix-fossil,Helix Fossil,35,7000,Can be revived into an Omanyte.
102,dome-fossil,Dome Fossil,35,7000,Can be revived into a Kabuto.
103,old-amber,Old Amber,35,10000,Can be revived into an Aerodactyl.
104,armor-fossil,Armor Fossil,35,7000,Can be revived into a Shieldon.
105,skull-fossil,Skull Fossil,35,7000,Can be revived into a Cranidos.
106,rare-bone,Rare Bone,24,5000,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars."
107,shiny-stone,Shiny Stone,10,3000,"Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss."
108,dusk-stone,Dusk Stone,10,3000,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow."
109,dawn-stone,Dawn Stone,10,3000,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.
110,oval-stone,Oval Stone,10,2000,Level-up during Day on a Happiny: Holder evolves into Chansey.
111,odd-keystone,Odd Keystone,35,2100,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.
112,adamant-orb,Adamant Orb,18,0,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.
113,lustrous-orb,Lustrous Orb,18,0,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.
114,grass-mail,Grass Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
115,flame-mail,Flame Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
116,bubble-mail,Bubble Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
117,bloom-mail,Bloom Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
118,tunnel-mail,Tunnel Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
119,steel-mail,Steel Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
120,heart-mail,Heart Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
121,snow-mail,Snow Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
122,space-mail,Space Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
123,air-mail,Air Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
124,mosaic-mail,Mosaic Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
125,brick-mail,Brick Mail,25,50,Lets a Trainer write a message and send it via Pokémon trade.
126,cheri-berry,Cheri Berry,3,20,Held: Consumed when paralyzed to cure paralysis.
127,chesto-berry,Chesto Berry,3,20,Held: Consumed when asleep to cure sleep.
128,pecha-berry,Pecha Berry,3,20,Held: Consumed when poisoned to cure poison.
129,rawst-berry,Rawst Berry,3,20,Held: Consumed when burned to cure a burn.
130,aspear-berry,Aspear Berry,3,20,Held: Consumed when frozen to cure frozen.
131,leppa-berry,Leppa Berry,3,20,Held: Consumed when a move runs out of PP to restore its PP by 10.
132,oran-berry,Oran Berry,3,20,Held: Consumed at 1/2 max HP to recover 10 HP.
133,persim-berry,Persim Berry,3,20,Held: Consumed when confused to cure confusion.
134,lum-berry,Lum Berry,3,20,Held: Consumed to cure any status condition or confusion.
135,sitrus-berry,Sitrus Berry,3,20,Held: Consumed at 1/2 max HP to recover 1/4 max HP.
136,figy-berry,Figy Berry,6,20,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.
137,wiki-berry,Wiki Berry,6,20,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.
138,mago-berry,Mago Berry,6,20,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.
139,aguav-berry,Aguav Berry,6,20,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.
140,iapapa-berry,Iapapa Berry,6,20,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.
141,razz-berry,Razz Berry,8,20,Used for creating PokéBlocks and Poffins.
142,bluk-berry,Bluk Berry,8,20,Used for creating PokéBlocks and Poffins.
143,nanab-berry,Nanab Berry,8,20,Used for creating PokéBlocks and Poffins.
144,wepear-berry,Wepear Berry,8,20,Used for creating PokéBlocks and Poffins.
145,pinap-berry,Pinap Berry,8,20,Used for creating PokéBlocks and Poffins.
146,pomeg-berry,Pomeg Berry,2,20,Drops HP Effort Values by 10 and raises happiness.
147,kelpsy-berry,Kelpsy Berry,2,20,Drops Attack Effort Values by 10 and raises happiness.
148,qualot-berry,Qualot Berry,2,20,Drops Defense Effort Values by 10 and raises happiness.
149,hondew-berry,Hondew Berry,2,20,Drops Special Attack Effort Values by 10 and raises happiness.
150,grepa-berry,Grepa Berry,2,20,Drops Special Defense Effort Values by 10 and raises happiness.
151,tamato-berry,Tamato Berry,2,20,Drops Speed Effort Values by 10 and raises happiness.
152,cornn-berry,Cornn Berry,8,20,Used for creating PokéBlocks and Poffins.
153,magost-berry,Magost Berry,8,20,Used for creating PokéBlocks and Poffins.
154,rabuta-berry,Rabuta Berry,8,20,Used for creating PokéBlocks and Poffins.
155,nomel-berry,Nomel Berry,8,20,Used for creating PokéBlocks and Poffins.
156,spelon-berry,Spelon Berry,8,20,Used for creating PokéBlocks and Poffins.
157,pamtre-berry,Pamtre Berry,8,20,Used for creating PokéBlocks and Poffins.
158,watmel-berry,Watmel Berry,8,20,Used for creating PokéBlocks and Poffins.
159,durin-berry,Durin Berry,8,20,Used for creating PokéBlocks and Poffins.
160,belue-berry,Belue Berry,8,20,Used for creating PokéBlocks and Poffins.
161,occa-berry,Occa Berry,7,20,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.
162,passho-berry,Passho Berry,7,20,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.
163,wacan-berry,Wacan Berry,7,20,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.
164,rindo-berry,Rindo Berry,7,20,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.
165,yache-berry,Yache Berry,7,20,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.
166,chople-berry,Chople Berry,7,20,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.
167,kebia-berry,Kebia Berry,7,20,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.
168,shuca-berry,Shuca Berry,7,20,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.
169,coba-berry,Coba Berry,7,20,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.
170,payapa-berry,Payapa Berry,7,20,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.
171,tanga-berry,Tanga Berry,7,20,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.
172,charti-berry,Charti Berry,7,20,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.
173,kasib-berry,Kasib Berry,7,20,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.
174,haban-berry,Haban Berry,7,20,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.
175,colbur-berry,Colbur Berry,7,20,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.
176,babiri-berry,Babiri Berry,7,20,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.
177,chilan-berry,Chilan Berry,7,20,Held: Consumed when struck by a Normal-type attack to halve the damage.
178,liechi-berry,Liechi Berry,5,20,Held: Consumed at 1/4 max HP to boost Attack.
179,ganlon-berry,Ganlon Berry,5,20,Held: Consumed at 1/4 max HP to boost Defense.
180,salac-berry,Salac Berry,5,20,Held: Consumed at 1/4 max HP to boost Speed.
181,petaya-berry,Petaya Berry,5,20,Held: Consumed at 1/4 max HP to boost Special Attack.
182,apicot-berry,Apicot Berry,5,20,Held: Consumed at 1/4 max HP to boost Special Defense.
183,lansat-berry,Lansat Berry,5,20,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.
184,starf-berry,Starf Berry,5,20,Held: Consumed at 1/4 max HP to boost a random stat by two stages.
185,enigma-berry,Enigma Berry,4,20,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.
186,micle-berry,Micle Berry,5,20,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)
187,custap-berry,Custap Berry,5,20,Held: Consumed at 1/4 max HP when using a move to go first.
188,jaboca-berry,Jaboca Berry,4,20,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.
189,rowap-berry,Rowap Berry,4,20,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.
190,bright-powder,Bright Powder,12,4000,Held: Increases the holder's evasion by 1/9 (11 1/9%).
191,white-herb,White Herb,12,4000,Held: Resets all lowered stats to normal at end of turn. Consumed after use.
192,macho-brace,Macho Brace,14,3000,"Held: Holder gains double effort values from battles, but has halved Speed in battle."
193,exp-share,Exp. Share,16,0,Held: Half the experience from a battle is split between Pokémon holding this item.
194,quick-claw,Quick Claw,12,4000,Held: Holder has a 3/16 (18.75%) chance to move first.
195,soothe-bell,Soothe Bell,16,4000,Held: Doubles the happiness earned by the holder.
196,mental-herb,Mental Herb,12,4000,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body."
197,choice-band,Choice Band,13,4000,"Held: Increases Attack by 50%, but restricts the holder to only one move."
198,kings-rock,King’s Rock,12,5000,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.
199,silver-powder,Silver Powder,19,1000,Held: Bug-Type moves from holder do 20% more damage.
200,amulet-coin,Amulet Coin,16,10000,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.
201,cleanse-tag,Cleanse Tag,16,5000,Prevents wild encounters of level lower than your party's lead Pokémon.
202,soul-dew,Soul Dew,18,0,Raises Latias and Latios's Special Attack and Special Defense by 50%.
203,deep-sea-tooth,Deep Sea Tooth,18,2000,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.
204,deep-sea-scale,Deep Sea Scale,18,2000,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.
205,smoke-ball,Smoke Ball,12,4000,Held: Allows the Holder to escape from any wild battle.
206,everstone,Everstone,16,3000,Held: Prevents level-based evolution from occuring.
207,focus-band,Focus Band,12,4000,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.
208,lucky-egg,Lucky Egg,16,10000,Held: Increases EXP earned in battle by 50%.
209,scope-lens,Scope Lens,12,4000,Held: Raises the holder's critical hit ratio by one stage.
210,metal-coat,Metal Coat,19,2000,Held: Steel-Type moves from holder do 20% more damage.
211,leftovers,Leftovers,12,4000,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.
212,dragon-scale,Dragon Scale,10,2000,Traded on a Seadra: Holder evolves into Kingdra.
213,light-ball,Light Ball,18,1000,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.
214,soft-sand,Soft Sand,19,1000,Held: Ground-Type moves from holder do 20% more damage.
215,hard-stone,Hard Stone,19,1000,Held: Rock-Type moves from holder do 20% more damage.
216,miracle-seed,Miracle Seed,19,1000,Held: Grass-Type moves from holder do 20% more damage.
217,black-glasses,Black Glasses,19,1000,Held: Dark-Type moves from holder do 20% more damage.
218,black-belt,Black Belt,19,1000,Held: Fighting-Type moves from holder do 20% more damage.
219,magnet,Magnet,19,1000,Held: Electric-Type moves from holder do 20% more damage.
220,mystic-water,Mystic Water,19,1000,Held: Water-Type moves from holder do 20% more damage.
221,sharp-beak,Sharp Beak,19,1000,Held: Flying-Type moves from holder do 20% more damage.
222,poison-barb,Poison Barb,19,1000,Held: Poison-Type moves from holder do 20% more damage.
223,never-melt-ice,Never-Melt Ice,19,1000,Held: Ice-Type moves from holder do 20% more damage.
224,spell-tag,Spell Tag,19,1000,Held: Ghost-Type moves from holder do 20% more damage.
225,twisted-spoon,Twisted Spoon,19,1000,Held: Psychic-Type moves from holder do 20% more damage.
226,charcoal,Charcoal,19,1000,Held: Fire-Type moves from holder do 20% more damage.
227,dragon-fang,Dragon Fang,19,1000,Held: Dragon-Type moves from holder do 20% more damage.
228,silk-scarf,Silk Scarf,19,1000,Held: Normal-Type moves from holder do 20% more damage.
229,up-grade,Up-Grade,10,2000,Traded on a Porygon: Holder evolves into Porygon2.
230,shell-bell,Shell Bell,12,4000,Held: Holder receives 1/8 of the damage it deals when attacking.
231,sea-incense,Sea Incense,19,2000,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.
232,lax-incense,Lax Incense,12,5000,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.
233,lucky-punch,Lucky Punch,18,1000,Raises Chansey's critical hit ratio by two stages.
234,metal-powder,Metal Powder,18,1000,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.
235,thick-club,Thick Club,18,1000,Doubles Cubone or Marowak's Attack.
236,stick,Stick,18,1000,Raises Farfetch'd's critical hit ratio by two stages.
237,red-scarf,Red Scarf,36,100,Raises the holder's Coolness while in a contest.
238,blue-scarf,Blue Scarf,36,100,Raises the holder's Beauty while in a contest.
